"date","downloads","pkg"
"2023-11-10",502,"shiny"
"2023-11-11",300,"shiny"
"2023-11-12",240,"shiny"
"2023-11-13",658,"shiny"
"2023-11-14",620,"shiny"
"2023-11-15",660,"shiny"
"2023-11-16",677,"shiny"
"2023-11-17",646,"shiny"
"2023-11-18",320,"shiny"
"2023-11-19",249,"shiny"
"2023-11-20",556,"shiny"
"2023-11-21",596,"shiny"
"2023-11-22",753,"shiny"
"2023-11-23",398,"shiny"
"2023-11-24",360,"shiny"
"2023-11-25",332,"shiny"
"2023-11-26",256,"shiny"
"2023-11-27",664,"shiny"
"2023-11-28",725,"shiny"
"2023-11-29",655,"shiny"
"2023-11-30",778,"shiny"
"2023-12-01",737,"shiny"
"2023-12-02",281,"shiny"
"2023-12-03",288,"shiny"
"2023-12-04",808,"shiny"
"2023-12-05",926,"shiny"
"2023-12-06",861,"shiny"
"2023-12-07",883,"shiny"
"2023-12-08",938,"shiny"
"2023-12-09",528,"shiny"
"2023-12-10",515,"shiny"
"2023-12-11",749,"shiny"
"2023-12-12",999,"shiny"
"2023-12-13",884,"shiny"
"2023-12-14",735,"shiny"
"2023-12-15",778,"shiny"
"2023-12-16",352,"shiny"
"2023-12-17",226,"shiny"
"2023-12-18",649,"shiny"
"2023-12-19",918,"shiny"
"2023-12-20",1037,"shiny"
"2023-12-21",670,"shiny"
"2023-12-22",839,"shiny"
"2023-12-23",343,"shiny"
"2023-12-24",318,"shiny"
"2023-12-25",206,"shiny"
"2023-12-26",297,"shiny"
"2023-12-27",405,"shiny"
"2023-12-28",433,"shiny"
"2023-12-29",329,"shiny"
"2023-12-30",280,"shiny"
"2023-12-31",192,"shiny"
"2024-01-01",223,"shiny"
"2024-01-02",588,"shiny"
"2024-01-03",826,"shiny"
"2024-01-04",862,"shiny"
"2024-01-05",751,"shiny"
"2024-01-06",510,"shiny"
"2024-01-07",428,"shiny"
"2024-01-08",1133,"shiny"
"2024-01-09",1112,"shiny"
"2024-01-10",1041,"shiny"
"2024-01-11",1304,"shiny"
"2024-01-12",1115,"shiny"
"2024-01-13",404,"shiny"
"2024-01-14",256,"shiny"
"2024-01-15",668,"shiny"
"2024-01-16",786,"shiny"
"2024-01-17",849,"shiny"
"2024-01-18",820,"shiny"
"2024-01-19",877,"shiny"
"2024-01-20",405,"shiny"
"2024-01-21",259,"shiny"
"2024-01-22",1342,"shiny"
"2024-01-23",1507,"shiny"
"2024-01-24",1201,"shiny"
"2024-01-25",2003,"shiny"
"2024-01-26",2478,"shiny"
"2024-01-27",487,"shiny"
"2024-01-28",353,"shiny"
"2024-01-29",1427,"shiny"
"2024-01-30",1437,"shiny"
"2024-01-31",1218,"shiny"
"2024-02-01",2519,"shiny"
"2024-02-02",1900,"shiny"
"2024-02-03",591,"shiny"
"2024-02-04",493,"shiny"
"2024-02-05",1518,"shiny"
"2024-02-06",1117,"shiny"
"2024-02-07",995,"shiny"
"2024-02-08",983,"shiny"
"2024-02-09",903,"shiny"
"2024-02-10",463,"shiny"
"2024-02-11",436,"shiny"
"2024-02-12",1135,"shiny"
"2024-02-13",2158,"shiny"
"2024-02-14",1903,"shiny"
"2024-02-15",2202,"shiny"
"2024-02-16",1727,"shiny"
"2024-02-17",437,"shiny"
"2024-02-18",365,"shiny"
"2024-02-19",806,"shiny"
"2024-02-20",1691,"shiny"
"2024-02-21",1574,"shiny"
"2024-02-22",1825,"shiny"
"2024-02-23",2320,"shiny"
"2024-02-24",478,"shiny"
"2024-02-25",438,"shiny"
"2024-02-26",1260,"shiny"
"2024-02-27",1694,"shiny"
"2024-02-28",1576,"shiny"
"2024-02-29",1100,"shiny"
"2024-03-01",2300,"shiny"
"2024-03-02",734,"shiny"
"2024-03-03",518,"shiny"
"2024-03-04",1469,"shiny"
"2024-03-05",1154,"shiny"
"2024-03-06",1349,"shiny"
"2024-03-07",1797,"shiny"
"2024-03-08",1672,"shiny"
"2024-03-09",577,"shiny"
"2024-03-10",451,"shiny"
"2024-03-11",924,"shiny"
"2024-03-12",908,"shiny"
"2024-03-13",1616,"shiny"
"2024-03-14",1118,"shiny"
"2024-03-15",1155,"shiny"
"2024-03-16",840,"shiny"
"2024-03-17",460,"shiny"
"2024-03-18",1208,"shiny"
"2024-03-19",1042,"shiny"
"2024-03-20",1123,"shiny"
"2024-03-21",1295,"shiny"
"2024-03-22",927,"shiny"
"2024-03-23",445,"shiny"
"2024-03-24",552,"shiny"
"2024-03-25",923,"shiny"
"2024-03-26",1725,"shiny"
"2024-03-27",1127,"shiny"
"2024-03-28",1129,"shiny"
"2024-03-29",666,"shiny"
"2024-03-30",501,"shiny"
"2024-03-31",441,"shiny"
"2024-04-01",1132,"shiny"
"2024-04-02",1377,"shiny"
"2024-04-03",1376,"shiny"
"2024-04-04",1335,"shiny"
"2024-04-05",1584,"shiny"
"2024-04-06",424,"shiny"
"2024-04-07",459,"shiny"
"2024-04-08",1132,"shiny"
"2024-04-09",1053,"shiny"
"2024-04-10",1191,"shiny"
"2024-04-11",1119,"shiny"
"2024-04-12",1096,"shiny"
"2024-04-13",534,"shiny"
"2024-04-14",516,"shiny"
"2024-04-15",923,"shiny"
"2024-04-16",1687,"shiny"
"2024-04-17",1564,"shiny"
"2024-04-18",1372,"shiny"
