date,type,downloads
2017-04-08,RS-os,989
2017-04-08,desktop,9812
2017-04-09,RS-os,971
2017-04-09,desktop,9490
2017-04-10,RS-os,1498
2017-04-10,desktop,17729
2017-04-11,RS-os,1582
2017-04-11,desktop,17658
2017-04-12,RS-os,1598
2017-04-12,desktop,16328
2017-04-13,RS-os,1480
2017-04-13,desktop,15012
2017-04-14,RS-os,1223
2017-04-14,desktop,11951
2017-04-15,RS-os,1012
2017-04-15,desktop,8449
2017-04-16,RS-os,991
2017-04-16,desktop,8034
2017-04-17,RS-os,1314
2017-04-17,desktop,13813
2017-04-18,RS-os,1696
2017-04-18,desktop,17275
2017-04-19,RS-os,1713
2017-04-19,desktop,18948
2017-04-20,RS-os,1668
2017-04-20,desktop,21806
2017-04-21,RS-os,1505
2017-04-21,desktop,17814
2017-04-22,RS-os,1138
2017-04-22,desktop,11816
2017-04-23,RS-os,1080
2017-04-23,desktop,11680
2017-04-24,RS-os,1618
2017-04-24,desktop,22393
2017-04-25,RS-os,1901
2017-04-25,desktop,23028
2017-04-26,RS-os,1721
2017-04-26,desktop,21500
2017-04-27,RS-os,1679
2017-04-27,desktop,19075
2017-04-28,RS-os,1613
2017-04-28,desktop,16392
2017-04-29,RS-os,1108
2017-04-29,desktop,10259
2017-04-30,RS-os,1075
2017-04-30,desktop,9536
2017-05-01,RS-os,1431
2017-05-01,desktop,14993
2017-05-02,RS-os,1604
2017-05-02,desktop,20069
2017-05-03,RS-os,1347
2017-05-03,desktop,19381
2017-05-04,RS-os,1319
2017-05-04,desktop,18468
2017-05-05,RS-os,1285
2017-05-05,desktop,15674
2017-05-06,RS-os,817
2017-05-06,desktop,10400
2017-05-07,RS-os,840
2017-05-07,desktop,10347
2017-05-08,RS-os,1422
2017-05-08,desktop,18676
2017-05-09,RS-os,1478
2017-05-09,desktop,18941
2017-05-10,RS-os,1350
2017-05-10,desktop,17972
2017-05-11,RS-os,1573
2017-05-11,desktop,17040
2017-05-12,RS-os,1270
2017-05-12,desktop,15367
2017-05-13,RS-os,825
2017-05-13,desktop,9503
2017-05-14,RS-os,774
2017-05-14,desktop,9485
2017-05-15,RS-os,1373
2017-05-15,desktop,18106
2017-05-16,RS-os,1418
2017-05-16,desktop,18490
2017-05-17,RS-os,1491
2017-05-17,desktop,18058
2017-05-18,RS-os,1413
2017-05-18,desktop,16744
2017-05-19,RS-os,1508
2017-05-19,desktop,14797
2017-05-20,RS-os,953
2017-05-20,desktop,9150
2017-05-21,RS-os,911
2017-05-21,desktop,9228
2017-05-22,RS-os,1394
2017-05-22,desktop,17282
2017-05-23,RS-os,1512
2017-05-23,desktop,18138
2017-05-24,RS-os,1388
2017-05-24,desktop,16990
2017-05-25,RS-os,1328
2017-05-25,desktop,14879
2017-05-26,RS-os,1239
2017-05-26,desktop,13546
2017-05-27,RS-os,802
2017-05-27,desktop,8553
2017-05-28,RS-os,742
2017-05-28,desktop,8542
2017-05-29,RS-os,1214
2017-05-29,desktop,13475
2017-05-30,RS-os,1325
2017-05-30,desktop,15654
2017-05-31,RS-os,1470
2017-05-31,desktop,16406
2017-06-01,RS-os,1250
2017-06-01,desktop,16031
2017-06-02,RS-os,1304
2017-06-02,desktop,14243
2017-06-03,RS-os,715
2017-06-03,desktop,8503
2017-06-04,RS-os,724
2017-06-04,desktop,8303
2017-06-05,RS-os,1244
2017-06-05,desktop,16102
2017-06-06,RS-os,1508
2017-06-06,desktop,17538
2017-06-07,RS-os,1421
2017-06-07,desktop,17671
2017-06-08,RS-os,1659
2017-06-08,desktop,16001
2017-06-09,RS-os,1280
2017-06-09,desktop,14382
2017-06-10,RS-os,779
2017-06-10,desktop,8891
2017-06-11,RS-os,749
2017-06-11,desktop,8338
2017-06-12,RS-os,1286
2017-06-12,desktop,16632
2017-06-13,RS-os,1242
2017-06-13,desktop,16799
2017-06-14,RS-os,1337
2017-06-14,desktop,15774
2017-06-15,RS-os,1217
2017-06-15,desktop,14352
2017-06-16,RS-os,1311
2017-06-16,desktop,12831
2017-06-17,RS-os,742
2017-06-17,desktop,7896
2017-06-18,RS-os,751
2017-06-18,desktop,7745
2017-06-19,RS-os,1254
2017-06-19,desktop,16209
2017-06-20,RS-os,1400
2017-06-20,desktop,16208
2017-06-21,RS-os,1487
2017-06-21,desktop,15530
2017-06-22,RS-os,1467
2017-06-22,desktop,15121
2017-06-23,RS-os,1268
2017-06-23,desktop,12572
2017-06-24,RS-os,746
2017-06-24,desktop,7630
2017-06-25,RS-os,803
2017-06-25,desktop,7367
2017-06-26,RS-os,1378
2017-06-26,desktop,14849
2017-06-27,RS-os,1512
2017-06-27,desktop,15315
2017-06-28,RS-os,1447
2017-06-28,desktop,14371
2017-06-29,RS-os,1621
2017-06-29,desktop,14028
2017-06-30,RS-os,1431
2017-06-30,desktop,12061
2017-07-01,RS-os,889
2017-07-01,desktop,7597
2017-07-02,RS-os,777
2017-07-02,desktop,7728
2017-07-03,RS-os,1203
2017-07-03,desktop,14858
2017-07-04,RS-os,1217
2017-07-04,desktop,14143
2017-07-05,RS-os,1420
2017-07-05,desktop,14803
2017-07-06,RS-os,1525
2017-07-06,desktop,15656
2017-07-07,RS-os,1511
2017-07-07,desktop,13043
2017-07-08,RS-os,808
2017-07-08,desktop,8390
2017-07-09,RS-os,771
2017-07-09,desktop,8107
2017-07-10,RS-os,1691
2017-07-10,desktop,15594
2017-07-11,RS-os,1372
2017-07-11,desktop,15164
2017-07-12,RS-os,1392
2017-07-12,desktop,14733
2017-07-13,RS-os,1367
2017-07-13,desktop,14027
2017-07-14,RS-os,1180
2017-07-14,desktop,10607
2017-07-15,RS-os,741
2017-07-15,desktop,8193
2017-07-16,RS-os,766
2017-07-16,desktop,8196
2017-07-17,RS-os,1138
2017-07-17,desktop,15166
2017-07-18,RS-os,1375
2017-07-18,desktop,15182
2017-07-19,RS-os,1476
2017-07-19,desktop,14379
2017-07-20,RS-os,1430
2017-07-20,desktop,14072
2017-07-21,RS-os,1440
2017-07-21,desktop,15028
2017-07-22,RS-os,703
2017-07-22,desktop,8701
2017-07-23,RS-os,724
2017-07-23,desktop,8600
2017-07-24,RS-os,1395
2017-07-24,desktop,17287
2017-07-25,RS-os,1438
2017-07-25,desktop,16553
2017-07-26,RS-os,1233
2017-07-26,desktop,15753
2017-07-27,RS-os,1360
2017-07-27,desktop,15175
2017-07-28,RS-os,1282
2017-07-28,desktop,12711
2017-07-29,RS-os,756
2017-07-29,desktop,8245
2017-07-30,RS-os,740
2017-07-30,desktop,8114
2017-07-31,RS-os,1331
2017-07-31,desktop,15672
2017-08-01,RS-os,1355
2017-08-01,desktop,16097
2017-08-02,RS-os,1221
2017-08-02,desktop,15814
2017-08-03,RS-os,1370
2017-08-03,desktop,15099
2017-08-04,RS-os,1521
2017-08-04,desktop,13582
2017-08-05,RS-os,789
2017-08-05,desktop,8469
2017-08-06,RS-os,753
2017-08-06,desktop,8213
2017-08-07,RS-os,1437
2017-08-07,desktop,15793
2017-08-08,RS-os,1473
2017-08-08,desktop,15181
2017-08-09,RS-os,1369
2017-08-09,desktop,14831
2017-08-10,RS-os,1430
2017-08-10,desktop,15028
2017-08-11,RS-os,1251
2017-08-11,desktop,13378
2017-08-12,RS-os,823
2017-08-12,desktop,8991
2017-08-13,RS-os,836
2017-08-13,desktop,8435
2017-08-14,RS-os,1257
2017-08-14,desktop,15063
2017-08-15,RS-os,1266
2017-08-15,desktop,14805
2017-08-16,RS-os,1324
2017-08-16,desktop,16269
2017-08-17,RS-os,1467
2017-08-17,desktop,16017
2017-08-18,RS-os,1366
2017-08-18,desktop,14095
2017-08-19,RS-os,840
2017-08-19,desktop,9395
2017-08-20,RS-os,917
2017-08-20,desktop,8997
2017-08-21,RS-os,1525
2017-08-21,desktop,17866
2017-08-22,RS-os,1388
2017-08-22,desktop,19871
2017-08-23,RS-os,1572
2017-08-23,desktop,21082
2017-08-24,RS-os,1619
2017-08-24,desktop,20407
2017-08-25,RS-os,1461
2017-08-25,desktop,16973
2017-08-26,RS-os,940
2017-08-26,desktop,10228
2017-08-27,RS-os,827
2017-08-27,desktop,10113
2017-08-28,RS-os,1401
2017-08-28,desktop,21890
2017-08-29,RS-os,1471
2017-08-29,desktop,23303
2017-08-30,RS-os,1522
2017-08-30,desktop,23771
2017-08-31,RS-os,1735
2017-08-31,desktop,23701
2017-09-01,RS-os,1384
2017-09-01,desktop,18656
2017-09-02,RS-os,834
2017-09-02,desktop,10358
2017-09-03,RS-os,1032
2017-09-03,desktop,10864
2017-09-04,RS-os,1406
2017-09-04,desktop,20141
2017-09-05,RS-os,1463
2017-09-05,desktop,26897
2017-09-06,RS-os,1491
2017-09-06,desktop,27983
2017-09-07,RS-os,1567
2017-09-07,desktop,28126
2017-09-08,RS-os,1569
2017-09-08,desktop,23544
2017-09-09,RS-os,857
2017-09-09,desktop,14038
2017-09-10,RS-os,780
