date,type,downloads
2018-04-30,desktop,17155
2018-05-01,RS-os,1387
2018-05-01,desktop,16025
2018-05-02,RS-os,1441
2018-05-02,desktop,19963
2018-05-03,RS-os,1578
2018-05-03,desktop,20401
2018-05-04,RS-os,1545
2018-05-04,desktop,17379
2018-05-05,RS-os,881
2018-05-05,desktop,10606
2018-05-06,RS-os,833
2018-05-06,desktop,10286
2018-05-07,RS-os,1342
2018-05-07,desktop,19491
2018-05-08,RS-os,1777
2018-05-08,desktop,20194
2018-05-09,RS-os,1726
2018-05-09,desktop,20116
2018-05-10,RS-os,1506
2018-05-10,desktop,19303
2018-05-11,RS-os,1427
2018-05-11,desktop,17717
2018-05-12,RS-os,856
2018-05-12,desktop,11282
2018-05-13,RS-os,928
2018-05-13,desktop,10942
2018-05-14,RS-os,1377
2018-05-14,desktop,21299
2018-05-15,RS-os,1507
2018-05-15,desktop,21824
2018-05-16,RS-os,1509
2018-05-16,desktop,20805
2018-05-17,RS-os,1469
2018-05-17,desktop,21615
2018-05-18,RS-os,1358
2018-05-18,desktop,18300
2018-05-19,RS-os,834
2018-05-19,desktop,11323
2018-05-20,RS-os,834
2018-05-20,desktop,3296
2018-05-21,RS-os,1162
2018-05-21,desktop,19597
2018-05-22,RS-os,1385
2018-05-22,desktop,21821
2018-05-23,RS-os,1479
2018-05-23,desktop,21125
2018-05-24,RS-os,1586
2018-05-24,desktop,20163
2018-05-25,RS-os,1533
2018-05-25,desktop,16173
2018-05-26,RS-os,807
2018-05-26,desktop,9986
2018-05-27,RS-os,765
2018-05-27,desktop,9973
2018-05-28,RS-os,1077
2018-05-28,desktop,16877
2018-05-29,RS-os,1373
2018-05-29,desktop,19521
2018-05-30,RS-os,1580
2018-05-30,desktop,18851
2018-05-31,RS-os,1679
2018-05-31,desktop,18170
2018-06-01,RS-os,1415
2018-06-01,desktop,16054
2018-06-02,RS-os,792
2018-06-02,desktop,9836
2018-06-03,RS-os,728
2018-06-03,desktop,9919
2018-06-04,RS-os,1444
2018-06-04,desktop,20503
2018-06-05,RS-os,1392
2018-06-05,desktop,20918
2018-06-06,RS-os,1482
2018-06-06,desktop,19804
2018-06-07,RS-os,1663
2018-06-07,desktop,19099
2018-06-08,RS-os,1434
2018-06-08,desktop,16926
2018-06-09,RS-os,901
2018-06-09,desktop,10273
2018-06-10,RS-os,818
2018-06-10,desktop,10229
2018-06-11,RS-os,1479
2018-06-11,desktop,19771
2018-06-12,RS-os,1710
2018-06-12,desktop,19225
2018-06-13,RS-os,1587
2018-06-13,desktop,18653
2018-06-14,RS-os,1599
2018-06-14,desktop,17790
2018-06-15,RS-os,1537
2018-06-15,desktop,14406
2018-06-16,RS-os,928
2018-06-16,desktop,8510
2018-06-17,RS-os,849
2018-06-17,desktop,8703
2018-06-18,RS-os,1523
2018-06-18,desktop,17955
2018-06-19,RS-os,1733
2018-06-19,desktop,18777
2018-06-20,RS-os,1680
2018-06-20,desktop,17965
2018-06-21,RS-os,1739
2018-06-21,desktop,17154
2018-06-22,RS-os,2174
2018-06-22,desktop,14848
2018-06-23,RS-os,1649
2018-06-23,desktop,9243
2018-06-24,RS-os,1739
2018-06-24,desktop,9172
2018-06-25,RS-os,2233
2018-06-25,desktop,18614
2018-06-26,RS-os,2436
2018-06-26,desktop,17897
2018-06-27,RS-os,2406
2018-06-27,desktop,16620
2018-06-28,RS-os,2334
2018-06-28,desktop,16506
2018-06-29,RS-os,2226
2018-06-29,desktop,14198
2018-06-30,RS-os,1402
2018-06-30,desktop,8336
2018-07-01,RS-os,1496
2018-07-01,desktop,8143
2018-07-02,RS-os,2335
2018-07-02,desktop,17358
2018-07-03,RS-os,2396
2018-07-03,desktop,18718
2018-07-04,RS-os,1972
2018-07-04,desktop,16199
2018-07-05,RS-os,1887
2018-07-05,desktop,16569
2018-07-06,RS-os,1885
2018-07-06,desktop,14105
2018-07-07,RS-os,1194
2018-07-07,desktop,9397
2018-07-08,RS-os,1155
2018-07-08,desktop,8491
2018-07-09,RS-os,1772
2018-07-09,desktop,18253
2018-07-10,RS-os,1898
2018-07-10,desktop,18508
2018-07-11,RS-os,1616
2018-07-11,desktop,17578
2018-07-12,RS-os,1539
2018-07-12,desktop,16870
2018-07-13,RS-os,1487
2018-07-13,desktop,14519
2018-07-14,RS-os,991
2018-07-14,desktop,9268
2018-07-15,RS-os,1036
2018-07-15,desktop,8380
2018-07-16,RS-os,1811
2018-07-16,desktop,17077
2018-07-17,RS-os,1655
2018-07-17,desktop,18248
2018-07-18,RS-os,2152
2018-07-18,desktop,17173
2018-07-19,RS-os,2229
2018-07-19,desktop,16529
2018-07-20,RS-os,2005
2018-07-20,desktop,16293
2018-07-21,RS-os,886
2018-07-21,desktop,10021
2018-07-22,RS-os,1144
2018-07-22,desktop,9684
2018-07-23,RS-os,1835
2018-07-23,desktop,19904
2018-07-24,RS-os,1888
2018-07-24,desktop,19395
2018-07-25,RS-os,1888
2018-07-25,desktop,18717
2018-07-26,RS-os,2105
2018-07-26,desktop,17892
2018-07-27,RS-os,1643
2018-07-27,desktop,15224
2018-07-28,RS-os,872
2018-07-28,desktop,9616
2018-07-29,RS-os,843
2018-07-29,desktop,9519
2018-07-30,RS-os,1722
2018-07-30,desktop,18010
2018-07-31,RS-os,1778
2018-07-31,desktop,18062
2018-08-01,RS-os,1794
2018-08-01,desktop,18112
2018-08-02,RS-os,1655
2018-08-02,desktop,17356
2018-08-03,RS-os,1510
2018-08-03,desktop,15059
2018-08-04,RS-os,801
2018-08-04,desktop,9428
2018-08-05,RS-os,841
2018-08-05,desktop,9157
2018-08-06,RS-os,1749
2018-08-06,desktop,17687
2018-08-07,RS-os,1760
2018-08-07,desktop,18565
2018-08-08,RS-os,1661
2018-08-08,desktop,18111
2018-08-09,RS-os,1750
2018-08-09,desktop,17072
2018-08-10,RS-os,1536
2018-08-10,desktop,14986
2018-08-11,RS-os,903
2018-08-11,desktop,9521
2018-08-12,RS-os,876
2018-08-12,desktop,9202
2018-08-13,RS-os,1966
2018-08-13,desktop,16956
2018-08-14,RS-os,1823
2018-08-14,desktop,17783
2018-08-15,RS-os,1877
2018-08-15,desktop,16306
2018-08-16,RS-os,1870
2018-08-16,desktop,17614
2018-08-17,RS-os,1567
2018-08-17,desktop,15284
2018-08-18,RS-os,778
2018-08-18,desktop,10006
2018-08-19,RS-os,904
2018-08-19,desktop,9888
2018-08-20,RS-os,1778
2018-08-20,desktop,21485
2018-08-21,RS-os,1890
2018-08-21,desktop,22950
2018-08-22,RS-os,1854
2018-08-22,desktop,22328
2018-08-23,RS-os,2201
2018-08-23,desktop,7899
2018-08-24,RS-os,1559
2018-08-24,desktop,20692
2018-08-25,RS-os,898
2018-08-25,desktop,12896
2018-08-26,RS-os,955
2018-08-26,desktop,13472
2018-08-27,RS-os,1827
2018-08-27,desktop,28068
2018-08-28,RS-os,2206
2018-08-28,desktop,30022
2018-08-29,RS-os,2071
2018-08-29,desktop,30321
2018-08-30,RS-os,2107
2018-08-30,desktop,28554
2018-08-31,RS-os,1963
2018-08-31,desktop,24422
2018-09-01,RS-os,963
2018-09-01,desktop,14103
2018-09-02,RS-os,876
2018-09-02,desktop,14384
2018-09-03,RS-os,1526
2018-09-03,desktop,25866
2018-09-04,RS-os,2214
2018-09-04,desktop,34508
2018-09-05,RS-os,2300
2018-09-05,desktop,35745
2018-09-06,RS-os,2227
2018-09-06,desktop,34155
2018-09-07,RS-os,1917
2018-09-07,desktop,28463
2018-09-08,RS-os,1049
2018-09-08,desktop,16512
2018-09-09,RS-os,1008
2018-09-09,desktop,17953
2018-09-10,RS-os,1981
2018-09-10,desktop,35265
2018-09-11,RS-os,2332
2018-09-11,desktop,35786
2018-09-12,RS-os,2024
2018-09-12,desktop,33689
2018-09-13,RS-os,2015
2018-09-13,desktop,31101
2018-09-14,RS-os,1863
2018-09-14,desktop,26575
2018-09-15,RS-os,966
2018-09-15,desktop,16253
2018-09-16,RS-os,997
2018-09-16,desktop,17551
2018-09-17,RS-os,2482
2018-09-17,desktop,33956
2018-09-18,RS-os,2252
2018-09-18,desktop,33491
2018-09-19,RS-os,2216
2018-09-19,desktop,32322
2018-09-20,RS-os,2237
2018-09-20,desktop,32423
2018-09-21,RS-os,1980
2018-09-21,desktop,25763
2018-09-22,RS-os,1112
2018-09-22,desktop,15578
2018-09-23,RS-os,887
2018-09-23,desktop,16171
2018-09-24,RS-os,1636
2018-09-24,desktop,26585
2018-09-25,RS-os,2241
2018-09-25,desktop,29686
2018-09-26,RS-os,2202
2018-09-26,desktop,29630
2018-09-27,RS-os,2097
2018-09-27,desktop,29594
2018-09-28,RS-os,2118
2018-09-28,desktop,24560
2018-09-29,RS-os,998
2018-09-29,desktop,15957
2018-09-30,RS-os,894
2018-09-30,desktop,15899
2018-10-01,RS-os,1824
2018-10-01,desktop,29311
2018-10-02,RS-os,1621
2018-10-02,desktop,28873
2018-10-03,RS-os,1742
2018-10-03,desktop,26584
2018-10-04,RS-os,2125
2018-10-04,desktop,26354
2018-10-05,RS-os,1947
2018-10-05,desktop,22535
2018-10-06,RS-os,607
2018-10-06,desktop,13885
2018-10-07,RS-os,640
2018-10-07,desktop,14722
2018-10-08,RS-os,1971
2018-10-08,desktop,25369
2018-10-09,RS-os,2016
2018-10-09,desktop,26822
2018-10-10,RS-os,2360
2018-10-10,desktop,26997
2018-10-11,RS-os,2510
2018-10-11,desktop,25297
2018-10-12,RS-os,2334
2018-10-12,desktop,21439
2018-10-13,RS-os,1350
2018-10-13,desktop,13303
2018-10-14,RS-os,1167
2018-10-14,desktop,14475
2018-10-15,RS-os,2222
2018-10-15,desktop,25728
2018-10-16,RS-os,91
2018-10-16,desktop,27280
2018-10-17,RS-os,2622
2018-10-17,desktop,25777
2018-10-18,RS-os,3293
2018-10-18,desktop,24364
2018-10-19,RS-os,2158
2018-10-19,desktop,20569
2018-10-20,RS-os,981
2018-10-20,desktop,13570
2018-10-21,RS-os,1096
2018-10-21,desktop,14846
2018-10-22,RS-os,2374
2018-10-22,desktop,25755
2018-10-23,RS-os,2263
2018-10-23,desktop,25726
2018-10-24,RS-os,2112
2018-10-24,desktop,25419
2018-10-25,RS-os,2169
2018-10-25,desktop,24736
2018-10-26,RS-os,2047
2018-10-26,desktop,20054
2018-10-27,RS-os,804
2018-10-27,desktop,13198
2018-10-28,RS-os,750
2018-10-28,desktop,13043
2018-10-29,RS-os,2185
2018-10-29,desktop,23216
2018-10-30,RS-os,2129
2018-10-30,desktop,26368
2018-10-31,RS-os,1958
2018-10-31,desktop,23782
2018-11-01,RS-os,2062
2018-11-01,desktop,20542
2018-11-02,RS-os,2245
2018-11-02,desktop,19064
2018-11-03,RS-os,998
2018-11-03,desktop,12051
2018-11-04,RS-os,717
2018-11-04,desktop,13107
2018-11-05,RS-os,2097
2018-11-05,desktop,24074
2018-11-06,RS-os,2406
2018-11-06,desktop,24131
2018-11-07,RS-os,2374
2018-11-07,desktop,23925
2018-11-08,RS-os,2282
2018-11-08,desktop,23181
2018-11-09,RS-os,1597
2018-11-09,desktop,20962
2018-11-10,RS-os,827
2018-11-10,desktop,13413
2018-11-11,RS-os,722
2018-11-11,desktop,13057
2018-11-12,RS-os,1658
2018-11-12,desktop,23720
2018-11-13,RS-os,2040
2018-11-13,desktop,24551
2018-11-14,RS-os,2265
2018-11-14,desktop,24004
2018-11-15,RS-os,2070
2018-11-15,desktop,22584
2018-11-16,RS-os,1996
2018-11-16,desktop,20239
2018-11-17,RS-os,735
2018-11-17,desktop,13244
2018-11-18,RS-os,640
2018-11-18,desktop,13104
2018-11-19,RS-os,1845
2018-11-19,desktop,22290
2018-11-20,RS-os,2252
2018-11-20,desktop,22615
2018-11-21,RS-os,1608
2018-11-21,desktop,21378
2018-11-22,RS-os,1314
2018-11-22,desktop,19365
2018-11-23,RS-os,1260
2018-11-23,desktop,16176
2018-11-24,RS-os,755
2018-11-24,desktop,12188
2018-11-25,RS-os,643
2018-11-25,desktop,12887
2018-11-26,RS-os,1878
2018-11-26,desktop,22397
2018-11-27,RS-os,1884
2018-11-27,desktop,23863
2018-11-28,RS-os,2049
2018-11-28,desktop,23306
2018-11-29,RS-os,2272
2018-11-29,desktop,21941
2018-11-30,RS-os,1818
2018-11-30,desktop,19058
2018-12-01,RS-os,824
2018-12-01,desktop,12851
2018-12-02,RS-os,685
2018-12-02,desktop,12731
2018-12-03,RS-os,1809
2018-12-03,desktop,22279
2018-12-04,RS-os,2141
2018-12-04,desktop,22040
2018-12-05,RS-os,1886
2018-12-05,desktop,22476
2018-12-06,RS-os,2044
2018-12-06,desktop,21895
2018-12-07,RS-os,1798
2018-12-07,desktop,19070
2018-12-08,RS-os,800
2018-12-08,desktop,11695
2018-12-09,RS-os,687
2018-12-09,desktop,11514
2018-12-10,RS-os,1978
2018-12-10,desktop,20600
2018-12-11,RS-os,2031
2018-12-11,desktop,19938
2018-12-12,RS-os,2005
2018-12-12,desktop,18293
2018-12-13,RS-os,2195
2018-12-13,desktop,17950
2018-12-14,RS-os,1960
2018-12-14,desktop,15311
2018-12-15,RS-os,1097
2018-12-15,desktop,10275
2018-12-16,RS-os,1024
2018-12-16,desktop,10222
2018-12-17,RS-os,2005
2018-12-17,desktop,17972
2018-12-18,RS-os,2243
2018-12-18,desktop,17991
2018-12-19,RS-os,2315
2018-12-19,desktop,17517
2018-12-20,RS-os,2292
2018-12-20,desktop,15294
2018-12-21,RS-os,1917
2018-12-21,desktop,12875
2018-12-22,RS-os,987
2018-12-22,desktop,8813
2018-12-23,RS-os,975
2018-12-23,desktop,8541
2018-12-24,RS-os,1232
2018-12-24,desktop,9155
2018-12-25,RS-os,938
2018-12-25,desktop,7770
2018-12-26,RS-os,1451
2018-12-26,desktop,10984
2018-12-27,RS-os,1547
2018-12-27,desktop,11834
2018-12-28,RS-os,1304
2018-12-28,desktop,10583
2018-12-29,RS-os,1044
2018-12-29,desktop,8610
2018-12-30,RS-os,969
2018-12-30,desktop,7248
2018-12-31,RS-os,1151
2018-12-31,desktop,7076
2019-01-01,RS-os,922
2019-01-01,desktop,6522
2019-01-02,RS-os,2076
2019-01-02,desktop,14488
2019-01-03,RS-os,2172
2019-01-03,desktop,15994
2019-01-04,RS-os,2007
2019-01-04,desktop,15029
2019-01-05,RS-os,1044
2019-01-05,desktop,11074
2019-01-06,RS-os,1134
2019-01-06,desktop,10456
2019-01-07,RS-os,2426
2019-01-07,desktop,24477
2019-01-08,RS-os,2494
2019-01-08,desktop,26825
2019-01-09,RS-os,2296
2019-01-09,desktop,28441
2019-01-10,RS-os,2201
2019-01-10,desktop,26830
2019-01-11,RS-os,2193
2019-01-11,desktop,22809
2019-01-12,RS-os,1105
2019-01-12,desktop,12490
2019-01-13,RS-os,1105
2019-01-13,desktop,12771
2019-01-14,RS-os,2231
2019-01-14,desktop,27236
2019-01-15,RS-os,2393
2019-01-15,desktop,29086
2019-01-16,RS-os,2574
2019-01-16,desktop,29083
2019-01-17,RS-os,2385
2019-01-17,desktop,27881
2019-01-18,RS-os,2238
2019-01-18,desktop,23342
2019-01-19,RS-os,1052
2019-01-19,desktop,12881
2019-01-20,RS-os,956
2019-01-20,desktop,12827
2019-01-21,RS-os,1836
2019-01-21,desktop,23483
2019-01-22,RS-os,2510
2019-01-22,desktop,30039
2019-01-23,RS-os,2553
2019-01-23,desktop,29427
2019-01-24,RS-os,2655
2019-01-24,desktop,27425
2019-01-25,RS-os,2186
2019-01-25,desktop,22925
2019-01-26,RS-os,1225
2019-01-26,desktop,13232
2019-01-27,RS-os,1131
2019-01-27,desktop,13618
2019-01-28,RS-os,2472
2019-01-28,desktop,27205
2019-01-29,RS-os,2470
2019-01-29,desktop,26972
2019-01-30,RS-os,2101
2019-01-30,desktop,25339
2019-01-31,RS-os,2033
2019-01-31,desktop,24066
2019-02-01,RS-os,1900
2019-02-01,desktop,21006
2019-02-02,RS-os,966
2019-02-02,desktop,12068
2019-02-03,RS-os,970
2019-02-03,desktop,12503
2019-02-04,RS-os,2033
2019-02-04,desktop,23437
2019-02-05,RS-os,2030
2019-02-05,desktop,25948
2019-02-06,RS-os,2261
2019-02-06,desktop,24415
2019-02-07,RS-os,2309
2019-02-07,desktop,24092
2019-02-08,RS-os,2260
2019-02-08,desktop,19920
2019-02-09,RS-os,1241
2019-02-09,desktop,11987
2019-02-10,RS-os,1513
2019-02-10,desktop,12989
2019-02-11,RS-os,2547
2019-02-11,desktop,25332
2019-02-12,RS-os,1974
2019-02-12,desktop,24230
2019-02-13,RS-os,1967
2019-02-13,desktop,23672
2019-02-14,RS-os,2064
2019-02-14,desktop,22188
2019-02-15,RS-os,703
2019-02-15,desktop,19642
2019-02-16,RS-os,954
2019-02-16,desktop,12218
2019-02-17,RS-os,927
2019-02-17,desktop,12702
2019-02-18,RS-os,1775
2019-02-18,desktop,23503
2019-02-19,RS-os,2178
2019-02-19,desktop,24319
2019-02-20,RS-os,2249
2019-02-20,desktop,24563
2019-02-21,RS-os,2418
2019-02-21,desktop,23745
2019-02-22,RS-os,1888
2019-02-22,desktop,20490
2019-02-23,RS-os,1054
2019-02-23,desktop,13209
2019-02-24,RS-os,1295
2019-02-24,desktop,14024
2019-02-25,RS-os,2223
2019-02-25,desktop,26764
2019-02-26,RS-os,2219
2019-02-26,desktop,26932
2019-02-27,RS-os,2156
2019-02-27,desktop,25538
2019-02-28,RS-os,2221
2019-02-28,desktop,24261
2019-03-01,RS-os,1978
2019-03-01,desktop,20713
2019-03-02,RS-os,1169
2019-03-02,desktop,13614
2019-03-03,RS-os,1079
2019-03-03,desktop,14214
2019-03-04,RS-os,2304
2019-03-04,desktop,26893
2019-03-05,RS-os,2064
2019-03-05,desktop,27076
2019-03-06,RS-os,2212
2019-03-06,desktop,26397
2019-03-07,RS-os,2262
2019-03-07,desktop,26591
2019-03-08,RS-os,2480
2019-03-08,desktop,21280
2019-03-09,RS-os,1115
2019-03-09,desktop,14251
2019-03-10,RS-os,1034
2019-03-10,desktop,14643
2019-03-11,RS-os,2128
2019-03-11,desktop,26918
2019-03-12,RS-os,2342
2019-03-12,desktop,27464
2019-03-13,RS-os,2279
2019-03-13,desktop,27268
2019-03-14,RS-os,98
2019-03-14,desktop,26354
2019-03-15,RS-os,1894
2019-03-15,desktop,22245
2019-03-16,RS-os,948
2019-03-16,desktop,14377
2019-03-17,RS-os,948
2019-03-17,desktop,14440
2019-03-18,RS-os,2148
2019-03-18,desktop,25256
2019-03-19,RS-os,2202
2019-03-19,desktop,26421
2019-03-20,RS-os,2554
2019-03-20,desktop,24525
2019-03-21,RS-os,2471
2019-03-21,desktop,22845
2019-03-22,RS-os,2006
2019-03-22,desktop,20803
2019-03-23,RS-os,980
2019-03-23,desktop,13656
2019-03-24,RS-os,954
2019-03-24,desktop,13519
2019-03-25,RS-os,2521
2019-03-25,desktop,24271
2019-03-26,RS-os,2738
2019-03-26,desktop,25239
2019-03-27,RS-os,2503
2019-03-27,desktop,24897
2019-03-28,RS-os,2777
2019-03-28,desktop,23784
2019-03-29,RS-os,2405
2019-03-29,desktop,20112
2019-03-30,RS-os,998
2019-03-30,desktop,13179
2019-03-31,RS-os,888
2019-03-31,desktop,13155
2019-04-01,RS-os,2479
2019-04-01,desktop,25319
2019-04-02,RS-os,2830
2019-04-02,desktop,27533
2019-04-03,RS-os,2581
2019-04-03,desktop,26545
2019-04-04,RS-os,2452
2019-04-04,desktop,23950
2019-04-05,RS-os,2280
2019-04-05,desktop,19499
2019-04-06,RS-os,1052
2019-04-06,desktop,12897
2019-04-07,RS-os,1043
2019-04-07,desktop,15928
2019-04-08,RS-os,2672
2019-04-08,desktop,25486
2019-04-09,RS-os,3021
2019-04-09,desktop,30279
2019-04-10,RS-os,3241
2019-04-10,desktop,63042
2019-04-11,RS-os,2791
2019-04-11,desktop,27167
2019-04-12,RS-os,2529
2019-04-12,desktop,23300
2019-04-13,RS-os,1026
2019-04-13,desktop,15134
2019-04-14,RS-os,1071
2019-04-14,desktop,14844
2019-04-15,RS-os,2808
2019-04-15,desktop,28136
2019-04-16,RS-os,2430
2019-04-16,desktop,29204
2019-04-17,RS-os,3093
2019-04-17,desktop,25549
2019-04-18,RS-os,2290
2019-04-18,desktop,22348
2019-04-19,RS-os,1724
2019-04-19,desktop,17532
2019-04-20,RS-os,1015
2019-04-20,desktop,12851
2019-04-21,RS-os,887
2019-04-21,desktop,12740
2019-04-22,RS-os,2046
2019-04-22,desktop,23448
2019-04-23,RS-os,2622
2019-04-23,desktop,27162
2019-04-24,RS-os,2481
2019-04-24,desktop,25980
2019-04-25,RS-os,2594
2019-04-25,desktop,24669
2019-04-26,RS-os,2474
2019-04-26,desktop,25321
2019-04-27,RS-os,1200
2019-04-27,desktop,13605
2019-04-28,RS-os,225
2019-04-28,desktop,4676
2019-04-29,RS-os,2847
2019-04-29,desktop,26205
2019-04-30,RS-os,3157
2019-04-30,desktop,23031
2019-05-01,RS-os,2588
2019-05-01,desktop,23583
2019-05-02,RS-os,2768
2019-05-02,desktop,47053
2019-05-03,RS-os,2688
2019-05-03,desktop,22358
2019-05-04,RS-os,1079
2019-05-04,desktop,15098
2019-05-05,RS-os,1209
2019-05-05,desktop,19156
2019-05-06,RS-os,2677
2019-05-06,desktop,30040
2019-05-07,RS-os,3082
2019-05-07,desktop,25784
2019-05-08,RS-os,3041
2019-05-08,desktop,33407
2019-05-09,RS-os,2653
2019-05-09,desktop,23631
2019-05-10,RS-os,2784
2019-05-10,desktop,21089
2019-05-11,RS-os,1054
2019-05-11,desktop,12910
2019-05-12,RS-os,1070
2019-05-12,desktop,12500
2019-05-13,RS-os,2708
2019-05-13,desktop,25612
2019-05-14,RS-os,3077
2019-05-14,desktop,25544
2019-05-15,RS-os,2940
2019-05-15,desktop,24489
2019-05-16,RS-os,2783
2019-05-16,desktop,23230
2019-05-17,RS-os,2659
2019-05-17,desktop,19592
2019-05-18,RS-os,1080
2019-05-18,desktop,12942
2019-05-19,RS-os,1114
2019-05-19,desktop,13196
2019-05-20,RS-os,2899
2019-05-20,desktop,23375
2019-05-21,RS-os,3835
2019-05-21,desktop,23856
2019-05-22,RS-os,2420
2019-05-22,desktop,23030
2019-05-23,RS-os,2961
2019-05-23,desktop,22035
2019-05-24,RS-os,2523
2019-05-24,desktop,18511
2019-05-25,RS-os,866
2019-05-25,desktop,14170
2019-05-26,RS-os,977
2019-05-26,desktop,13181
2019-05-27,RS-os,2038
2019-05-27,desktop,24088
2019-05-28,RS-os,2828
2019-05-28,desktop,26962
2019-05-29,RS-os,2891
2019-05-29,desktop,58286
2019-05-30,RS-os,2713
2019-05-30,desktop,19270
2019-05-31,RS-os,2293
2019-05-31,desktop,16771
2019-06-01,RS-os,974
2019-06-01,desktop,10435
2019-06-02,RS-os,981
2019-06-02,desktop,10787
2019-06-03,RS-os,2385
2019-06-03,desktop,22162
2019-06-04,RS-os,2297
2019-06-04,desktop,21534
2019-06-05,RS-os,2725
2019-06-05,desktop,20656
2019-06-06,RS-os,2988
2019-06-06,desktop,19472
2019-06-07,RS-os,2571
2019-06-07,desktop,17218
2019-06-08,RS-os,1028
2019-06-08,desktop,10936
2019-06-09,RS-os,1102
2019-06-09,desktop,11003
2019-06-10,RS-os,2617
2019-06-10,desktop,658
2019-06-11,RS-os,2916
2019-06-11,desktop,21779
2019-06-12,RS-os,2835
2019-06-12,desktop,21198
2019-06-13,RS-os,2794
2019-06-13,desktop,19555
2019-06-14,RS-os,2433
2019-06-14,desktop,17526
2019-06-15,RS-os,1018
2019-06-15,desktop,11095
2019-06-16,RS-os,1172
2019-06-16,desktop,10525
2019-06-17,RS-os,2437
2019-06-17,desktop,21744
2019-06-18,RS-os,2586
2019-06-18,desktop,21096
2019-06-19,RS-os,2508
2019-06-19,desktop,20368
2019-06-20,RS-os,2273
2019-06-20,desktop,18535
2019-06-21,RS-os,2260
2019-06-21,desktop,16704
2019-06-22,RS-os,1118
2019-06-22,desktop,11040
2019-06-23,RS-os,1400
2019-06-23,desktop,10116
2019-06-24,RS-os,2408
2019-06-24,desktop,21601
2019-06-25,RS-os,2383
2019-06-25,desktop,20938
2019-06-26,RS-os,2514
2019-06-26,desktop,19506
2019-06-27,RS-os,2607
2019-06-27,desktop,95672
2019-06-28,RS-os,2165
2019-06-28,desktop,15982
2019-06-29,RS-os,1071
2019-06-29,desktop,10283
2019-06-30,RS-os,1011
2019-06-30,desktop,10197
2019-07-01,RS-os,2366
2019-07-01,desktop,20952
2019-07-02,RS-os,2847
2019-07-02,desktop,20545
2019-07-03,RS-os,2223
2019-07-03,desktop,19694
2019-07-04,RS-os,1772
2019-07-04,desktop,16182
2019-07-05,RS-os,1711
2019-07-05,desktop,15861
2019-07-06,RS-os,935
2019-07-06,desktop,10774
2019-07-07,RS-os,1113
2019-07-07,desktop,11369
2019-07-08,RS-os,2246
2019-07-08,desktop,22841
2019-07-09,RS-os,2292
2019-07-09,desktop,21193
2019-07-10,RS-os,2589
2019-07-10,desktop,20268
2019-07-11,RS-os,2455
2019-07-11,desktop,19513
2019-07-12,RS-os,2209
2019-07-12,desktop,16733
2019-07-13,RS-os,991
2019-07-13,desktop,10636
2019-07-14,RS-os,1100
2019-07-14,desktop,10136
2019-07-15,RS-os,2274
2019-07-15,desktop,21001
2019-07-16,RS-os,2507
2019-07-16,desktop,21035
2019-07-17,RS-os,2417
2019-07-17,desktop,19859
2019-07-18,RS-os,2140
2019-07-18,desktop,19450
2019-07-19,RS-os,2073
2019-07-19,desktop,16818
2019-07-20,RS-os,878
2019-07-20,desktop,10382
2019-07-21,RS-os,1074
2019-07-21,desktop,10117
2019-07-22,RS-os,2248
2019-07-22,desktop,19910
2019-07-23,RS-os,2252
2019-07-23,desktop,20023
2019-07-24,RS-os,2390
2019-07-24,desktop,19361
2019-07-25,RS-os,2174
2019-07-25,desktop,18551
2019-07-26,RS-os,2095
2019-07-26,desktop,16136
2019-07-27,RS-os,1077
2019-07-27,desktop,10654
2019-07-28,RS-os,1102
2019-07-28,desktop,12116
2019-07-29,RS-os,2454
2019-07-29,desktop,38535
2019-07-30,RS-os,2873
2019-07-30,desktop,392
2019-07-31,RS-os,2550
2019-07-31,desktop,19744
2019-08-01,RS-os,3041
2019-08-01,desktop,18542
2019-08-02,RS-os,4009
2019-08-02,desktop,15880
2019-08-03,RS-os,2625
2019-08-03,desktop,10637
2019-08-04,RS-os,2835
2019-08-04,desktop,10573
2019-08-05,RS-os,4307
2019-08-05,desktop,20244
2019-08-06,RS-os,3885
2019-08-06,desktop,176
2019-08-07,RS-os,2917
2019-08-07,desktop,21928
2019-08-08,RS-os,2509
2019-08-08,desktop,22988
2019-08-09,RS-os,2373
2019-08-09,desktop,8636
2019-08-10,RS-os,912
2019-08-10,desktop,11631
2019-08-11,RS-os,1035
2019-08-11,desktop,1059
2019-08-12,RS-os,2641
2019-08-12,desktop,19935
2019-08-13,RS-os,2458
2019-08-13,desktop,21185
2019-08-14,RS-os,2426
2019-08-14,desktop,20342
2019-08-15,RS-os,1967
2019-08-15,desktop,17836
2019-08-16,RS-os,2181
2019-08-16,desktop,11771
2019-08-17,RS-os,938
2019-08-17,desktop,12037
2019-08-18,RS-os,971
2019-08-18,desktop,11335
2019-08-19,RS-os,2471
2019-08-19,desktop,23066
2019-08-20,RS-os,2485
2019-08-20,desktop,25175
2019-08-21,RS-os,2638
2019-08-21,desktop,25903
2019-08-22,RS-os,2607
2019-08-22,desktop,24630
2019-08-23,RS-os,2523
2019-08-23,desktop,20138
2019-08-24,RS-os,1227
2019-08-24,desktop,13785
2019-08-25,RS-os,1115
2019-08-25,desktop,2973
2019-08-26,RS-os,2361
2019-08-26,desktop,29504
2019-08-27,RS-os,2440
2019-08-27,desktop,32733
2019-08-28,RS-os,2779
