"date","downloads"
"2017-10-18",26487
"2017-10-19",25274
"2017-10-20",22627
"2017-10-21",14200
"2017-10-22",15167
"2017-10-23",26416
"2017-10-24",26704
"2017-10-25",26506
"2017-10-26",25298
"2017-10-27",22485
"2017-10-28",14731
"2017-10-29",14963
"2017-10-30",24217
"2017-10-31",23061
"2017-11-01",22643
"2017-11-02",23851
"2017-11-03",20224
"2017-11-04",13528
"2017-11-05",13514
"2017-11-06",24388
"2017-11-07",24814
"2017-11-08",24203
"2017-11-09",23101
"2017-11-10",19860
"2017-11-11",12747
"2017-11-12",13127
"2017-11-13",23337
"2017-11-14",24543
"2017-11-15",23406
"2017-11-16",22675
"2017-11-17",893
"2017-11-18",13354
"2017-11-19",13409
"2017-11-20",23035
"2017-11-21",23370
"2017-11-22",22414
"2017-11-23",18586
"2017-11-24",16379
"2017-11-25",12527
"2017-11-26",12898
"2017-11-27",21833
"2017-11-28",22948
"2017-11-29",21855
"2017-11-30",20774
"2017-12-01",18874
"2017-12-02",12667
"2017-12-03",13084
"2017-12-04",21936
"2017-12-05",22161
"2017-12-06",21712
"2017-12-07",20639
"2017-12-08",17663
"2017-12-09",12191
"2017-12-10",12338
"2017-12-11",20347
"2017-12-12",20163
"2017-12-13",19034
"2017-12-14",18319
"2017-12-15",16237
"2017-12-16",10989
"2017-12-17",10925
"2017-12-18",17422
"2017-12-19",17383
"2017-12-20",16759
"2017-12-21",15716
"2017-12-22",12534
"2017-12-23",8412
"2017-12-24",7784
"2017-12-25",8501
"2017-12-26",11179
"2017-12-27",12443
"2017-12-28",12580
"2017-12-29",10191
"2017-12-30",8472
"2017-12-31",6376
"2018-01-01",6977
"2018-01-02",15269
"2018-01-03",17836
"2018-01-04",18208
"2018-01-05",17239
"2018-01-06",11270
"2018-01-07",11707
"2018-01-08",24312
"2018-01-09",26049
"2018-01-10",26617
"2018-01-11",25739
"2018-01-12",21320
"2018-01-13",13227
"2018-01-14",12348
"2018-01-15",22003
"2018-01-16",28059
"2018-01-17",29447
"2018-01-18",34498
"2018-01-19",28083
"2018-01-20",15965
"2018-01-21",15563
"2018-01-22",31795
"2018-01-23",32128
"2018-01-24",30642
"2018-01-25",28073
"2018-01-26",23591
"2018-01-27",15084
"2018-01-28",14852
"2018-01-29",28557
"2018-01-30",29476
"2018-01-31",27277
"2018-02-01",26012
"2018-02-02",22320
"2018-02-03",14456
"2018-02-04",14397
"2018-02-05",25952
"2018-02-06",27752
"2018-02-07",26598
"2018-02-08",26602
"2018-02-09",22340
"2018-02-10",14176
"2018-02-11",14116
"2018-02-12",23881
"2018-02-13",23649
"2018-02-14",22281
"2018-02-15",22049
"2018-02-16",19696
"2018-02-17",12972
"2018-02-18",13038
"2018-02-19",23430
"2018-02-20",24825
"2018-02-21",24387
"2018-02-22",24090
"2018-02-23",21698
"2018-02-24",14655
"2018-02-25",14642
"2018-02-26",26522
"2018-02-27",25848
"2018-02-28",25920
"2018-03-01",25312
"2018-03-02",22167
"2018-03-03",15103
"2018-03-04",15470
"2018-03-05",28220
"2018-03-06",29826
"2018-03-07",29040
"2018-03-08",27680
"2018-03-09",24037
"2018-03-10",16084
"2018-03-11",16114
"2018-03-12",28792
"2018-03-13",29566
"2018-03-14",28490
"2018-03-15",27557
"2018-03-16",23791
"2018-03-17",15567
"2018-03-18",15549
"2018-03-19",27159
"2018-03-20",27983
"2018-03-21",27617
"2018-03-22",25877
"2018-03-23",22617
"2018-03-24",15180
"2018-03-25",15243
"2018-03-26",24578
"2018-03-27",26690
"2018-03-28",24391
"2018-03-29",22357
"2018-03-30",18042
"2018-03-31",14184
"2018-04-01",12033
"2018-04-02",20492
"2018-04-03",24879
"2018-04-04",26636
"2018-04-05",23359
"2018-04-06",20453
"2018-04-07",13281
"2018-04-08",14026
"2018-04-09",25432
"2018-04-10",26150
"2018-04-11",25233
"2018-04-12",24309
"2018-04-13",20722
"2018-04-14",13358
"2018-04-15",14133
"2018-04-16",24760
"2018-04-17",24641
"2018-04-18",24573
"2018-04-19",23795
"2018-04-20",20389
"2018-04-21",12378
"2018-04-22",13485
"2018-04-23",23712
"2018-04-24",23456
"2018-04-25",22031
"2018-04-26",21437
"2018-04-27",18275
"2018-04-28",12137
"2018-04-29",11917
"2018-04-30",18584
"2018-05-01",17412
"2018-05-02",21404
"2018-05-03",21979
"2018-05-04",18924
"2018-05-05",11487
"2018-05-06",11119
"2018-05-07",20833
"2018-05-08",21971
"2018-05-09",21842
"2018-05-10",20809
"2018-05-11",19144
"2018-05-12",12138
"2018-05-13",11870
"2018-05-14",22676
"2018-05-15",23331
"2018-05-16",22314
"2018-05-17",23084
"2018-05-18",19658
"2018-05-19",12157
"2018-05-20",4130
"2018-05-21",20759
"2018-05-22",23206
"2018-05-23",22604
"2018-05-24",21749
"2018-05-25",17706
"2018-05-26",10793
"2018-05-27",10738
"2018-05-28",17954
"2018-05-29",20894
"2018-05-30",20431
"2018-05-31",19849
"2018-06-01",17469
"2018-06-02",10628
"2018-06-03",10647
"2018-06-04",21947
"2018-06-05",22310
"2018-06-06",21286
"2018-06-07",20762
"2018-06-08",18360
"2018-06-09",11174
"2018-06-10",11047
"2018-06-11",21250
"2018-06-12",20935
"2018-06-13",20240
"2018-06-14",19389
"2018-06-15",15943
"2018-06-16",9438
"2018-06-17",9552
"2018-06-18",19478
"2018-06-19",20510
"2018-06-20",19645
"2018-06-21",18893
"2018-06-22",17022
"2018-06-23",10892
"2018-06-24",10911
"2018-06-25",20847
"2018-06-26",20333
"2018-06-27",19026
"2018-06-28",18840
"2018-06-29",16424
"2018-06-30",9738
"2018-07-01",9639
"2018-07-02",19693
"2018-07-03",21114
"2018-07-04",18171
"2018-07-05",18456
"2018-07-06",15990
"2018-07-07",10591
"2018-07-08",9646
"2018-07-09",20025
"2018-07-10",20406
"2018-07-11",19194
"2018-07-12",18409
"2018-07-13",16006
"2018-07-14",10259
"2018-07-15",9416
"2018-07-16",18888
"2018-07-17",19903
"2018-07-18",19325
"2018-07-19",18758
"2018-07-20",18298
"2018-07-21",10907
"2018-07-22",10828
"2018-07-23",21739
"2018-07-24",21283
"2018-07-25",20605
"2018-07-26",19997
"2018-07-27",16867
"2018-07-28",10488
"2018-07-29",10362
"2018-07-30",19732
"2018-07-31",19840
"2018-08-01",19906
"2018-08-02",19011
"2018-08-03",16569
"2018-08-04",10229
"2018-08-05",9998
"2018-08-06",19436
"2018-08-07",20325
"2018-08-08",19772
"2018-08-09",18822
"2018-08-10",16522
"2018-08-11",10424
"2018-08-12",10078
"2018-08-13",18922
"2018-08-14",19606
"2018-08-15",18183
"2018-08-16",19484
"2018-08-17",16851
"2018-08-18",10784
"2018-08-19",10792
"2018-08-20",23263
"2018-08-21",24840
"2018-08-22",24182
"2018-08-23",10100
"2018-08-24",22251
"2018-08-25",13794
"2018-08-26",14427
"2018-08-27",29895
"2018-08-28",32228
"2018-08-29",32392
"2018-08-30",30661
"2018-08-31",26385
"2018-09-01",15066
"2018-09-02",15260
"2018-09-03",27392
"2018-09-04",36722
"2018-09-05",38045
"2018-09-06",36382
"2018-09-07",30380
"2018-09-08",17561
"2018-09-09",18961
"2018-09-10",37246
"2018-09-11",38118
"2018-09-12",35713
"2018-09-13",33116
"2018-09-14",28438
"2018-09-15",17219
"2018-09-16",18548
"2018-09-17",36438
"2018-09-18",35743
"2018-09-19",34538
"2018-09-20",34660
"2018-09-21",27743
"2018-09-22",16690
"2018-09-23",17058
"2018-09-24",28221
"2018-09-25",31927
"2018-09-26",31832
"2018-09-27",31691
"2018-09-28",26678
"2018-09-29",16955
"2018-09-30",16793
"2018-10-01",31135
"2018-10-02",30494
"2018-10-03",28326
"2018-10-04",28479
"2018-10-05",24482
"2018-10-06",14492
"2018-10-07",15362
"2018-10-08",27340
"2018-10-09",28838
"2018-10-10",29357
"2018-10-11",27807
"2018-10-12",23773
"2018-10-13",14653
"2018-10-14",15642
"2018-10-15",27950
"2018-10-16",27371
"2018-10-17",28399
"2018-10-18",27657
"2018-10-19",22727
"2018-10-20",14551
"2018-10-21",15942
"2018-10-22",28129
"2018-10-23",27989
"2018-10-24",27531
"2018-10-25",26905
"2018-10-26",22101
"2018-10-27",14002
"2018-10-28",13793
"2018-10-29",25401
"2018-10-30",28497
"2018-10-31",25740
"2018-11-01",22604
"2018-11-02",21309
"2018-11-03",13049
"2018-11-04",13824
"2018-11-05",26171
"2018-11-06",26537
"2018-11-07",26299
"2018-11-08",25463
"2018-11-09",22559
"2018-11-10",14240
"2018-11-11",13779
"2018-11-12",25378
"2018-11-13",26591
"2018-11-14",26269
"2018-11-15",24654
"2018-11-16",22235
"2018-11-17",13979
"2018-11-18",13744
"2018-11-19",24135
"2018-11-20",24867
"2018-11-21",22986
"2018-11-22",20679
"2018-11-23",17436
"2018-11-24",12943
"2018-11-25",13530
"2018-11-26",24275
"2018-11-27",25747
"2018-11-28",25355
"2018-11-29",24213
"2018-11-30",20876
"2018-12-01",13675
"2018-12-02",13416
"2018-12-03",24088
"2018-12-04",24181
"2018-12-05",24362
"2018-12-06",23939
"2018-12-07",20868
"2018-12-08",12495
"2018-12-09",12201
"2018-12-10",22578
"2018-12-11",21969
"2018-12-12",20298
"2018-12-13",20145
"2018-12-14",17271
"2018-12-15",11372
"2018-12-16",11246
"2018-12-17",19977
"2018-12-18",20234
"2018-12-19",19832
"2018-12-20",17586
"2018-12-21",14792
"2018-12-22",9800
"2018-12-23",9516
"2018-12-24",10387
"2018-12-25",8708
"2018-12-26",12435
"2018-12-27",13381
"2018-12-28",11887
"2018-12-29",9654
"2018-12-30",8217
"2018-12-31",8227
"2019-01-01",7444
"2019-01-02",16564
"2019-01-03",18166
"2019-01-04",17036
"2019-01-05",12118
"2019-01-06",11590
"2019-01-07",26903
"2019-01-08",29319
"2019-01-09",30737
"2019-01-10",29031
"2019-01-11",25002
"2019-01-12",13595
"2019-01-13",13876
"2019-01-14",29467
"2019-01-15",31479
"2019-01-16",31657
"2019-01-17",30266
"2019-01-18",25580
"2019-01-19",13933
"2019-01-20",13783
"2019-01-21",25319
"2019-01-22",32549
"2019-01-23",31980
"2019-01-24",30080
"2019-01-25",25111
"2019-01-26",14457
"2019-01-27",14749
"2019-01-28",29677
"2019-01-29",29442
"2019-01-30",27440
"2019-01-31",26099
"2019-02-01",22906
"2019-02-02",13034
"2019-02-03",13473
"2019-02-04",25470
"2019-02-05",27978
"2019-02-06",26676
"2019-02-07",26401
"2019-02-08",22180
"2019-02-09",13228
"2019-02-10",14502
"2019-02-11",27879
"2019-02-12",26204
"2019-02-13",25639
"2019-02-14",24252
"2019-02-15",20345
"2019-02-16",13172
"2019-02-17",13629
"2019-02-18",25278
"2019-02-19",26497
"2019-02-20",26812
"2019-02-21",26163
"2019-02-22",22378
"2019-02-23",14263
"2019-02-24",15319
"2019-02-25",28987
"2019-02-26",29151
"2019-02-27",27694
"2019-02-28",26482
"2019-03-01",22691
"2019-03-02",14783
"2019-03-03",15293
"2019-03-04",29197
"2019-03-05",29140
"2019-03-06",28609
"2019-03-07",28853
"2019-03-08",23760
"2019-03-09",15366
"2019-03-10",15677
"2019-03-11",29046
"2019-03-12",29806
"2019-03-13",29547
"2019-03-14",26452
"2019-03-15",24139
"2019-03-16",15325
"2019-03-17",15388
"2019-03-18",27404
"2019-03-19",28623
"2019-03-20",27079
"2019-03-21",25316
"2019-03-22",22809
"2019-03-23",14636
"2019-03-24",14473
"2019-03-25",26792
"2019-03-26",27977
"2019-03-27",27400
"2019-03-28",26561
"2019-03-29",22517
"2019-03-30",14177
"2019-03-31",14043
"2019-04-01",27798
"2019-04-02",30363
"2019-04-03",29126
"2019-04-04",26402
"2019-04-05",21779
"2019-04-06",13949
"2019-04-07",16971
"2019-04-08",28158
"2019-04-09",33300
"2019-04-10",66283
"2019-04-11",29958
"2019-04-12",25829
"2019-04-13",16160
"2019-04-14",15915
"2019-04-15",30944
"2019-04-16",31634
"2019-04-17",28642
"2019-04-18",24638
"2019-04-19",19256
"2019-04-20",13866
"2019-04-21",13627
"2019-04-22",25494
"2019-04-23",29784
"2019-04-24",28461
"2019-04-25",27263
"2019-04-26",27795
"2019-04-27",14805
"2019-04-28",4901
"2019-04-29",29052
"2019-04-30",26188
"2019-05-01",26171
"2019-05-02",49821
"2019-05-03",25046
"2019-05-04",16177
"2019-05-05",20365
"2019-05-06",32717
"2019-05-07",28866
"2019-05-08",36448
"2019-05-09",26284
"2019-05-10",23873
"2019-05-11",13964
"2019-05-12",13570
"2019-05-13",28320
"2019-05-14",28621
"2019-05-15",27429
"2019-05-16",26013
"2019-05-17",22251
"2019-05-18",14022
"2019-05-19",14310
"2019-05-20",26274
"2019-05-21",27691
"2019-05-22",25450
"2019-05-23",24996
"2019-05-24",21034
"2019-05-25",15036
"2019-05-26",14158
"2019-05-27",26126
"2019-05-28",29790
"2019-05-29",61177
"2019-05-30",21983
"2019-05-31",19064
"2019-06-01",11409
"2019-06-02",11768
"2019-06-03",24547
"2019-06-04",23831
"2019-06-05",23381
"2019-06-06",22460
"2019-06-07",19789
"2019-06-08",11964
"2019-06-09",12105
"2019-06-10",3275
"2019-06-11",24695
"2019-06-12",24033
"2019-06-13",22349
"2019-06-14",19959
"2019-06-15",12113
"2019-06-16",11697
"2019-06-17",24181
"2019-06-18",23682
"2019-06-19",22876
"2019-06-20",20808
"2019-06-21",18964
"2019-06-22",12158
"2019-06-23",11516
"2019-06-24",24009
"2019-06-25",23321
"2019-06-26",22020
"2019-06-27",98279
"2019-06-28",18147
"2019-06-29",11354
"2019-06-30",11208
"2019-07-01",23318
"2019-07-02",23392
"2019-07-03",21917
"2019-07-04",17954
"2019-07-05",17572
"2019-07-06",11709
"2019-07-07",12482
"2019-07-08",25087
"2019-07-09",23485
"2019-07-10",22857
"2019-07-11",21968
"2019-07-12",18942
"2019-07-13",11627
"2019-07-14",11236
"2019-07-15",23275
"2019-07-16",23542
"2019-07-17",22276
"2019-07-18",21590
"2019-07-19",18891
"2019-07-20",11260
"2019-07-21",11191
"2019-07-22",22158
"2019-07-23",22275
"2019-07-24",21751
"2019-07-25",20725
"2019-07-26",18231
"2019-07-27",11731
"2019-07-28",13218
"2019-07-29",40989
"2019-07-30",3265
"2019-07-31",22294
"2019-08-01",21583
"2019-08-02",19889
"2019-08-03",13262
"2019-08-04",13408
"2019-08-05",24551
"2019-08-06",4061
"2019-08-07",24845
"2019-08-08",25497
"2019-08-09",11009
"2019-08-10",12543
"2019-08-11",2094
"2019-08-12",22576
"2019-08-13",23643
"2019-08-14",22768
"2019-08-15",19803
"2019-08-16",13952
"2019-08-17",12975
"2019-08-18",12306
"2019-08-19",25537
"2019-08-20",27660
"2019-08-21",28541
"2019-08-22",27237
"2019-08-23",22661
"2019-08-24",15012
"2019-08-25",4088
"2019-08-26",31865
"2019-08-27",35173
"2019-08-28",36384
"2019-08-29",33535
"2019-08-30",25946
"2019-08-31",13574
"2019-09-01",14536
"2019-09-02",26447
"2019-09-03",37298
"2019-09-04",39510
"2019-09-05",36400
"2019-09-06",29776
"2019-09-07",16157
"2019-09-08",18151
"2019-09-09",37331
"2019-09-10",36021
"2019-09-11",5397
"2019-09-12",31687
"2019-09-13",25153
"2019-09-14",15894
"2019-09-15",17536
"2019-09-16",33632
"2019-09-17",37052
"2019-09-18",37094
"2019-09-19",35513
"2019-09-20",30088
"2019-09-21",17725
"2019-09-22",18503
"2019-09-23",35564
"2019-09-24",36547
"2019-09-25",38125
"2019-09-26",36325
"2019-09-27",30289
